pr_gene_id	pr_gene_symbol	pr_gene_title
6856	SYPL1	synaptophysin-like 1
6897	TARS	threonyl-tRNA synthetase
7296	TXNRD1	thioredoxin reductase 1
23386	NUDCD3	NudC domain containing 3
7153	TOP2A	topoisomerase (DNA) II alpha
10494	STK25	serine/threonine kinase 25
10969	EBNA1BP2	EBNA1 binding protein 2
2114	ETS2	v-ets avian erythroblastosis virus E26 oncogene homolog 2
6778	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced
6342	SCP2	sterol carrier protein 2
10730	YME1L1	YME1 like 1 ATPase
79073	TMEM109	transmembrane protein 109
7165	TPD52L2	tumor protein D52-like 2
10491	CRTAP	cartilage associated protein
10131	TRAP1	TNF receptor-associated protein 1
3482	IGF2R	insulin like growth factor 2 receptor
26227	PHGDH	phosphoglycerate dehydrogenase
26020	LRP10	LDL receptor related protein 10
6659	SOX4	SRY-box 4
847	CAT	catalase
9805	SCRN1	secernin 1
3725	JUN	jun proto-oncogene
10105	PPIF	peptidylprolyl isomerase F
5547	PRCP	prolylcarboxypeptidase
7874	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)
10146	G3BP1	GTPase activating protein (SH3 domain) binding protein 1
7247	TSN	translin
9868	TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)
6117	RPA1	replication protein A1
7538	ZFP36	ZFP36 ring finger protein
10765	KDM5B	lysine (K)-specific demethylase 5B
4172	MCM3	minichromosome maintenance complex component 3
25932	CLIC4	chloride intracellular channel 4
22883	CLSTN1	calsyntenin 1
3398	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
1635	DCTD	dCMP deaminase
2195	FAT1	FAT atypical cadherin 1
8243	SMC1A	structural maintenance of chromosomes 1A
11188	NISCH	nischarin
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1
11137	PWP1	PWP1 homolog, endonuclein
23463	ICMT	isoprenylcysteine carboxyl methyltransferase
8607	RUVBL1	RuvB like AAA ATPase 1
8720	MBTPS1	membrane bound transcription factor peptidase, site 1
3638	INSIG1	insulin induced gene 1
10670	RRAGA	Ras-related GTP binding A
8870	IER3	immediate early response 3
9246	UBE2L6	ubiquitin conjugating enzyme E2L 6
10051	SMC4	structural maintenance of chromosomes 4
9097	USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)
2997	GYS1	glycogen synthase 1
8165	AKAP1	A-kinase anchoring protein 1
4860	PNP	purine nucleoside phosphorylase
1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1
955	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
5824	PEX19	peroxisomal biogenesis factor 19
8508	NIPSNAP1	nipsnap homolog 1 (C. elegans)
4605	MYBL2	v-myb avian myeloblastosis viral oncogene homolog-like 2
2037	EPB41L2	erythrocyte membrane protein band 4.1-like 2
1994	ELAVL1	ELAV like RNA binding protein 1
9703	KIAA0100	KIAA0100
1182	CLCN3	chloride channel, voltage-sensitive 3
10289	EIF1B	eukaryotic translation initiation factor 1B
6446	SGK1	serum/glucocorticoid regulated kinase 1
929	CD14	CD14 molecule
6118	RPA2	replication protein A2
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
60528	ELAC2	elaC ribonuclease Z 2
9918	NCAPD2	non-SMC condensin I complex subunit D2
9813	EFCAB14	EF-hand calcium binding domain 14
11325	DDX42	DEAD-box helicase 42
9887	SMG7	SMG7 nonsense mediated mRNA decay factor
3930	LBR	lamin B receptor
1155	TBCB	tubulin folding cofactor B
9559	VPS26A	VPS26 retromer complex component A
9467	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
9690	UBE3C	ubiquitin protein ligase E3C
949	SCARB1	scavenger receptor class B member 1
51097	SCCPDH	saccharopine dehydrogenase (putative)
6603	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
10276	NET1	neuroepithelial cell transforming 1
3066	HDAC2	histone deacetylase 2
3988	LIPA	lipase A, lysosomal acid
664	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
23300	ATMIN	ATM interactor
10953	TOMM34	translocase of outer mitochondrial membrane 34
9019	MPZL1	myelin protein zero like 1
3597	IL13RA1	interleukin 13 receptor subunit alpha 1
10447	FAM3C	family with sequence similarity 3 member C
84722	PSRC1	proline/serine-rich coiled-coil 1
7319	UBE2A	ubiquitin conjugating enzyme E2A
80347	COASY	Coenzyme A synthase
4299	AFF1	AF4/FMR2 family member 1
2108	ETFA	electron transfer flavoprotein alpha subunit
10489	LRRC41	leucine rich repeat containing 41
23077	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase
2180	ACSL1	acyl-CoA synthetase long-chain family member 1
10180	RBM6	RNA binding motif protein 6
5236	PGM1	phosphoglucomutase 1
4651	MYO10	myosin X
6251	RSU1	Ras suppressor protein 1
1956	EGFR	epidermal growth factor receptor
9897	KIAA0196	KIAA0196
2131	EXT1	exostosin glycosyltransferase 1
23013	SPEN	spen family transcriptional repressor
5782	PTPN12	protein tyrosine phosphatase, non-receptor type 12
11344	TWF2	twinfilin actin binding protein 2
7082	TJP1	tight junction protein 1
4232	MEST	mesoderm specific transcript
230	ALDOC	aldolase, fructose-bisphosphate C
9354	UBE4A	ubiquitination factor E4A
5927	KDM5A	lysine (K)-specific demethylase 5A
26064	RAI14	retinoic acid induced 14
6397	SEC14L1	SEC14 like lipid binding 1
1514	CTSL	cathepsin L
54623	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component
332	BIRC5	baculoviral IAP repeat containing 5
5184	PEPD	peptidase D
23647	ARFIP2	ADP ribosylation factor interacting protein 2
6643	SNX2	sorting nexin 2
392	ARHGAP1	Rho GTPase activating protein 1
8895	CPNE3	copine 3
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
66008	TRAK2	trafficking protein, kinesin binding 2
9870	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1
5831	PYCR1	pyrroline-5-carboxylate reductase 1
23636	NUP62	nucleoporin 62kDa
5108	PCM1	pericentriolar material 1
642	BLMH	bleomycin hydrolase
9961	MVP	major vault protein
55746	NUP133	nucleoporin 133kDa
8985	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3
5525	PPP2R5A	protein phosphatase 2 regulatory subunit B', alpha
9688	NUP93	nucleoporin 93kDa
3985	LIMK2	LIM domain kinase 2
10123	ARL4C	ADP ribosylation factor like GTPase 4C
22889	KIAA0907	KIAA0907
10523	CHERP	calcium homeostasis endoplasmic reticulum protein
10221	TRIB1	tribbles pseudokinase 1
6812	STXBP1	syntaxin binding protein 1
6944	VPS72	vacuolar protein sorting 72 homolog (S. cerevisiae)
3028	HSD17B10	hydroxysteroid (17-beta) dehydrogenase 10
1026	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
26054	SENP6	SUMO1/sentrin specific peptidase 6
64746	ACBD3	acyl-CoA binding domain containing 3
5310	PKD1	polycystin 1, transient receptor potential channel interacting
1445	CSK	c-src tyrosine kinase
593	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
1861	TOR1A	torsin family 1 member A
9632	SEC24C	SEC24 homolog C, COPII coat complex component
5906	RAP1A	RAP1A, member of RAS oncogene family
9697	TRAM2	translocation associated membrane protein 2
79921	TCEAL4	transcription elongation factor A (SII)-like 4
10007	GNPDA1	glucosamine-6-phosphate deaminase 1
5997	RGS2	regulator of G-protein signaling 2
55324	ABCF3	ATP binding cassette subfamily F member 3
10915	TCERG1	transcription elongation regulator 1
6722	SRF	serum response factor
7398	USP1	ubiquitin specific peptidase 1
2073	ERCC5	excision repair cross-complementation group 5
9817	KEAP1	kelch like ECH associated protein 1
7994	KAT6A	K(lysine) acetyltransferase 6A
25874	MPC2	mitochondrial pyruvate carrier 2
4609	MYC	v-myc avian myelocytomatosis viral oncogene homolog
10237	SLC35B1	solute carrier family 35 member B1
10613	ERLIN1	ER lipid raft associated 1
5359	PLSCR1	phospholipid scramblase 1
1666	DECR1	2,4-dienoyl-CoA reductase 1, mitochondrial
10444	ZER1	zyg-11 related, cell cycle regulator
5530	PPP3CA	protein phosphatase 3, catalytic subunit, alpha isozyme
11098	PRSS23	protease, serine 23
11044	PAPD7	PAP associated domain containing 7
8727	CTNNAL1	catenin alpha-like 1
8518	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
10450	PPIE	peptidylprolyl isomerase E
3300	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2
9275	BCL7B	B-cell CLL/lymphoma 7B
10664	CTCF	CCCTC-binding factor (zinc finger protein)
2582	GALE	UDP-galactose-4-epimerase
8772	FADD	Fas associated via death domain
3156	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase
5580	PRKCD	protein kinase C delta
9217	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C
6284	S100A13	S100 calcium binding protein A13
8204	NRIP1	nuclear receptor interacting protein 1
27336	HTATSF1	HIV-1 Tat specific factor 1
102	ADAM10	ADAM metallopeptidase domain 10
55837	EAPP	E2F-associated phosphoprotein
10513	APPBP2	amyloid beta precursor protein binding protein 2
11073	TOPBP1	topoisomerase (DNA) II binding protein 1
5440	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
9926	LPGAT1	lysophosphatidylglycerol acyltransferase 1
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B
2958	GTF2A2	general transcription factor IIA 2
4864	NPC1	Niemann-Pick disease, type C1
2961	GTF2E2	general transcription factor IIE subunit 2
8731	RNMT	RNA (guanine-7-) methyltransferase
29890	RBM15B	RNA binding motif protein 15B
6632	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide
9943	OXSR1	oxidative stress responsive 1
8446	DUSP11	dual specificity phosphatase 11
9133	CCNB2	cyclin B2
8349	HIST2H2BE	histone cluster 2, H2be
5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
26136	TES	testin LIM domain protein
2673	GFPT1	glutamine--fructose-6-phosphate transaminase 1
3978	LIG1	ligase I, DNA, ATP-dependent
11142	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
8974	P4HA2	prolyl 4-hydroxylase subunit alpha 2
9322	TRIP10	thyroid hormone receptor interactor 10
10682	EBP	emopamil binding protein (sterol isomerase)
5257	PHKB	phosphorylase kinase, beta
7485	WRB	tryptophan rich basic protein
2817	GPC1	glypican 1
23224	SYNE2	spectrin repeat containing, nuclear envelope 2
836	CASP3	caspase 3
3155	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase
30836	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2
7750	ZMYM2	zinc finger, MYM-type 2
5019	OXCT1	3-oxoacid CoA-transferase 1
23530	NNT	nicotinamide nucleotide transhydrogenase
7867	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3
3628	INPP1	inositol polyphosphate-1-phosphatase
22908	SACM1L	SAC1 suppressor of actin mutations 1-like (yeast)
10427	SEC24B	SEC24 homolog B, COPII coat complex component
5566	PRKACA	protein kinase cAMP-activated catalytic subunit alpha
65123	INTS3	integrator complex subunit 3
10617	STAMBP	STAM binding protein
2548	GAA	glucosidase, alpha; acid
6894	TARBP1	TAR (HIV-1) RNA binding protein 1
291	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4
6845	VAMP7	vesicle associated membrane protein 7
2542	SLC37A4	solute carrier family 37 (glucose-6-phosphate transporter), member 4
5106	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
3251	HPRT1	hypoxanthine phosphoribosyltransferase 1
2184	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)
54788	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12
10775	POP4	POP4 homolog, ribonuclease P/MRP subunit
9267	CYTH1	cytohesin 1
54541	DDIT4	DNA damage inducible transcript 4
9053	MAP7	microtubule associated protein 7
4817	NIT1	nitrilase 1
2050	EPHB4	EPH receptor B4
4927	NUP88	nucleoporin 88kDa
7466	WFS1	Wolfram syndrome 1 (wolframin)
976	ADGRE5	adhesion G protein-coupled receptor E5
2956	MSH6	mutS homolog 6
9917	FAM20B	family with sequence similarity 20 member B
5300	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
2109	ETFB	electron transfer flavoprotein beta subunit
2356	FPGS	folylpolyglutamate synthase
22903	BTBD3	BTB (POZ) domain containing 3
2274	FHL2	four and a half LIM domains 2
1429	CRYZ	crystallin zeta
11065	UBE2C	ubiquitin conjugating enzyme E2C
5993	RFX5	regulatory factor X5
9915	ARNT2	aryl hydrocarbon receptor nuclear translocator 2
5836	PYGL	phosphorylase, glycogen, liver
57804	POLD4	polymerase (DNA-directed), delta 4, accessory subunit
10434	LYPLA1	lysophospholipase I
11319	ECD	ecdysoneless cell cycle regulator
9925	ZBTB5	zinc finger and BTB domain containing 5
5796	PTPRK	protein tyrosine phosphatase, receptor type K
8914	TIMELESS	timeless circadian clock
6793	STK10	serine/threonine kinase 10
7158	TP53BP1	tumor protein p53 binding protein 1
6988	TCTA	T-cell leukemia translocation altered
8050	PDHX	pyruvate dehydrogenase complex component X
9903	KLHL21	kelch like family member 21
22796	COG2	component of oligomeric golgi complex 2
29994	BAZ2B	bromodomain adjacent to zinc finger domain 2B
9587	MAD2L1BP	MAD2L1 binding protein
10059	DNM1L	dynamin 1-like
9924	PAN2	PAN2 poly(A) specific ribonuclease subunit
79080	CCDC86	coiled-coil domain containing 86
7159	TP53BP2	tumor protein p53 binding protein 2
4891	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2
3613	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2
9517	SPTLC2	serine palmitoyltransferase long chain base subunit 2
3800	KIF5C	kinesin family member 5C
8520	HAT1	histone acetyltransferase 1
10298	PAK4	p21 protein (Cdc42/Rac)-activated kinase 4
9869	SETDB1	SET domain bifurcated 1
7077	TIMP2	TIMP metallopeptidase inhibitor 2
23378	RRP8	ribosomal RNA processing 8, methyltransferase, homolog (yeast)
6275	S100A4	S100 calcium binding protein A4
11041	B4GAT1	beta-1,4-glucuronyltransferase 1
10058	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
5373	PMM2	phosphomannomutase 2
9650	MTFR1	mitochondrial fission regulator 1
5985	RFC5	replication factor C subunit 5
983	CDK1	cyclin-dependent kinase 1
8869	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
5601	MAPK9	mitogen-activated protein kinase 9
7088	TLE1	transducin like enhancer of split 1
5050	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3
3566	IL4R	interleukin 4 receptor
7405	UVRAG	UV radiation resistance associated
10641	NPRL2	NPR2-like, GATOR1 complex subunit
22828	SCAF8	SR-related CTD-associated factor 8
1001	CDH3	cadherin 3
10589	DRAP1	DR1 associated protein 1
9695	EDEM1	ER degradation enhancer, mannosidase alpha-like 1
9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
9710	KIAA0355	KIAA0355
4850	CNOT4	CCR4-NOT transcription complex subunit 4
9988	DMTF1	cyclin D binding myb-like transcription factor 1
1633	DCK	deoxycytidine kinase
6990	DYNLT3	dynein, light chain, Tctex-type 3
25805	BAMBI	BMP and activin membrane-bound inhibitor
10559	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1
1659	DHX8	DEAH-box helicase 8
9270	ITGB1BP1	integrin subunit beta 1 binding protein 1
5529	PPP2R5E	protein phosphatase 2 regulatory subunit B', epsilon
10153	CEBPZ	CCAAT/enhancer binding protein zeta
10245	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)
7358	UGDH	UDP-glucose 6-dehydrogenase
22823	MTF2	metal response element binding transcription factor 2
2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
26292	MYCBP	MYC binding protein
11072	DUSP14	dual specificity phosphatase 14
8835	SOCS2	suppressor of cytokine signaling 2
6195	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1
3280	HES1	hes family bHLH transcription factor 1
8624	PSMG1	proteasome (prosome, macropain) assembly chaperone 1
1643	DDB2	damage-specific DNA binding protein 2
890	CCNA2	cyclin A2
256364	EML3	echinoderm microtubule associated protein like 3
5711	PSMD5	proteasome 26S subunit, non-ATPase 5
11230	PRAF2	PRA1 domain family member 2
6697	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)
22905	EPN2	epsin 2
9801	MRPL19	mitochondrial ribosomal protein L19
9702	CEP57	centrosomal protein 57kDa
1969	EPHA2	EPH receptor A2
27095	TRAPPC3	trafficking protein particle complex 3
24149	ZNF318	zinc finger protein 318
6810	STX4	syntaxin 4
9670	IPO13	importin 13
5092	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1
9638	FEZ1	fasciculation and elongation protein zeta 1
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
4016	LOXL1	lysyl oxidase like 1
5875	RABGGTA	Rab geranylgeranyltransferase alpha subunit
4783	NFIL3	nuclear factor, interleukin 3 regulated
1459	CSNK2A2	casein kinase 2 alpha 2
5867	RAB4A	RAB4A, member RAS oncogene family
8634	RTCA	RNA 3'-terminal phosphate cyclase
24138	IFIT5	interferon induced protein with tetratricopeptide repeats 5
5423	POLB	polymerase (DNA directed), beta
3480	IGF1R	insulin like growth factor 1 receptor
10150	MBNL2	muscleblind like splicing regulator 2
2230	FDX1	ferredoxin 1
9797	TATDN2	TatD DNase domain containing 2
10206	TRIM13	tripartite motif containing 13
4925	NUCB2	nucleobindin 2
596	BCL2	B-cell CLL/lymphoma 2
5982	RFC2	replication factor C subunit 2
5261	PHKG2	phosphorylase kinase, gamma 2 (testis)
2067	ERCC1	excision repair cross-complementation group 1
1647	GADD45A	growth arrest and DNA damage inducible alpha
3909	LAMA3	laminin subunit alpha 3
6499	SKIV2L	Ski2 like RNA helicase
5914	RARA	retinoic acid receptor alpha
701	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
9787	DLGAP5	discs large homolog associated protein 5
10165	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13
23635	SSBP2	single-stranded DNA binding protein 2
2175	FANCA	Fanconi anemia complementation group A
6636	SNRPF	small nuclear ribonucleoprotein polypeptide F
10270	AKAP8	A-kinase anchoring protein 8
10954	PDIA5	protein disulfide isomerase family A member 5
22841	RAB11FIP2	RAB11 family interacting protein 2 (class I)
23011	RAB21	RAB21, member RAS oncogene family
57149	LYRM1	LYR motif containing 1
5073	PARN	poly(A)-specific ribonuclease
5909	RAP1GAP	RAP1 GTPase activating protein
6919	TCEA2	transcription elongation factor A (SII), 2
6182	MRPL12	mitochondrial ribosomal protein L12
10868	USP20	ubiquitin specific peptidase 20
1052	CEBPD	CCAAT/enhancer binding protein delta
10681	GNB5	guanine nucleotide binding protein (G protein), beta 5
11015	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
10810	WASF3	WAS protein family member 3
8884	SLC5A6	solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6
4216	MAP3K4	mitogen-activated protein kinase kinase kinase 4
7016	TESK1	testis-specific kinase 1
8318	CDC45	cell division cycle 45
55556	ENOSF1	enolase superfamily member 1
10312	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3
4258	MGST2	microsomal glutathione S-transferase 2
9759	HDAC4	histone deacetylase 4
1017	CDK2	cyclin-dependent kinase 2
79071	ELOVL6	ELOVL fatty acid elongase 6
5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
1385	CREB1	cAMP responsive element binding protein 1
27333	GOLIM4	golgi integral membrane protein 4
2946	GSTM2	glutathione S-transferase mu 2 (muscle)
23659	PLA2G15	phospholipase A2 group XV
5287	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
960	CD44	CD44 molecule (Indian blood group)
115	ADCY9	adenylate cyclase 9
1802	DPH2	DPH2 homolog
5480	PPIC	peptidylprolyl isomerase C
10610	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
9641	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
9016	SLC25A14	solute carrier family 25 (mitochondrial carrier, brain), member 14
10668	CGRRF1	cell growth regulator with ring finger domain 1
435	ASL	argininosuccinate lyase
11007	CCDC85B	coiled-coil domain containing 85B
65057	ACD	adrenocortical dysplasia homolog (mouse)
7020	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
6461	SHB	Src homology 2 domain containing adaptor protein B
9738	CCP110	centriolar coiled-coil protein 110kDa
3775	KCNK1	potassium channel, two pore domain subfamily K, member 1
9851	KIAA0753	KIAA0753
6804	STX1A	syntaxin 1A
23047	PDS5B	PDS5 cohesin associated factor B
3131	HLF	hepatic leukemia factor
5607	MAP2K5	mitogen-activated protein kinase kinase 5
9854	C2CD2L	C2CD2 like
9712	USP6NL	USP6 N-terminal like
7984	ARHGEF5	Rho guanine nucleotide exchange factor 5
7270	TTF1	transcription termination factor, RNA polymerase I
355	FAS	Fas cell surface death receptor
5498	PPOX	protoporphyrinogen oxidase
10329	TMEM5	transmembrane protein 5
10845	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit
9183	ZW10	zw10 kinetochore protein
9833	MELK	maternal embryonic leucine zipper kinase
899	CCNF	cyclin F
5883	RAD9A	RAD9 checkpoint clamp component A
10732	TCFL5	transcription factor-like 5 (basic helix-loop-helix)
2762	GMDS	GDP-mannose 4,6-dehydratase
10782	ZNF274	zinc finger protein 274
3385	ICAM3	intercellular adhesion molecule 3
27076	LYPD3	LY6/PLAUR domain containing 3
1662	DDX10	DEAD-box helicase 10
11129	CLASRP	CLK4-associating serine/arginine rich protein
79090	TRAPPC6A	trafficking protein particle complex 6A
22809	ATF5	activating transcription factor 5
1949	EFNB3	ephrin-B3
11157	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
1062	CENPE	centromere protein E
3815	KIT	KIT proto-oncogene receptor tyrosine kinase
3682	ITGAE	integrin subunit alpha E
4998	ORC1	origin recognition complex subunit 1
10046	MAMLD1	mastermind like domain containing 1
6443	SGCB	sarcoglycan beta
5891	MOK	MOK protein kinase
8800	PEX11A	peroxisomal biogenesis factor 11 alpha
1212	CLTB	clathrin light chain B
965	CD58	CD58 molecule
5357	PLS1	plastin 1
5110	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
5971	RELB	v-rel avian reticuloendotheliosis viral oncogene homolog B
3556	IL1RAP	interleukin 1 receptor accessory protein
8864	PER2	period circadian clock 2
24140	FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)
9841	ZBTB24	zinc finger and BTB domain containing 24
8821	INPP4B	inositol polyphosphate-4-phosphatase type II B
874	CBR3	carbonyl reductase 3
4088	SMAD3	SMAD family member 3
53340	SPA17	sperm autoantigenic protein 17
5255	PHKA1	phosphorylase kinase, alpha 1 (muscle)
4303	FOXO4	forkhead box O4
9488	PIGB	phosphatidylinositol glycan anchor biosynthesis class B
7360	UGP2	UDP-glucose pyrophosphorylase 2
10557	RPP38	ribonuclease P/MRP 38kDa subunit
51375	SNX7	sorting nexin 7
57147	SCYL3	SCY1-like, kinase-like 3
211	ALAS1	5'-aminolevulinate synthase 1
7486	WRN	Werner syndrome, RecQ helicase-like
9143	SYNGR3	synaptogyrin 3
670	BPHL	biphenyl hydrolase-like (serine hydrolase)
2161	F12	coagulation factor XII
11232	POLG2	polymerase (DNA directed), gamma 2, accessory subunit
9221	NOLC1	nucleolar and coiled-body phosphoprotein 1
5427	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit
9093	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3
22887	FOXJ3	forkhead box J3
6050	RNH1	ribonuclease/angiogenin inhibitor 1
5889	RAD51C	RAD51 paralog C
2523	FUT1	fucosyltransferase 1 (H blood group)
2553	GABPB1	GA binding protein transcription factor, beta subunit 1
9928	KIF14	kinesin family member 14
930	CD19	CD19 molecule
8853	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
7090	TLE3	transducin like enhancer of split 3
